Test No.,G,lldg,CapturePerc,L,Steam Flow,CO2 captured 
1,36000,0.1,80,38378.655,6600,3574
2,55500,0.175,87.5,82173.0507,8600,6026
3,45750,0.2125,83.75,73145.4572,6800,4755
4,65250,0.1375,91.25,90543.2044,11200,7388
5,40875,0.19375,93.125,68526.6812,6700,4723
6,60375,0.11875,85.625,73790.1883,10600,6415
7,50625,0.15625,89.375,71949.3013,8000,5615
8,70125,0.23125,81.875,120164.106,10500,7125
9,38437.5,0.240625,90.3125,74827.7638,6200,4308
10,57937.5,0.165625,82.8125,78451.4689,8400,5954
11,48187.5,0.128125,94.0625,66463.8363,8700,5625
12,67687.5,0.203125,86.5625,110423.277,10600,7271
13,43312.5,0.146875,84.6875,56130.2781,6400,4552
14,62812.5,0.221875,92.1875,118827.678,10700,7186
15,53062.5,0.184375,80.9375,74289.2522,7500,5329
17,37218.75,0.1796875,86.09375,54220.7675,5500,3976
18,56718.75,0.1046875,93.59375,73258.4035,12200,6587
19,46968.75,0.1421875,82.34375,58403.9639,6900,4799
20,66468.75,0.2171875,89.84375,119711.279,10900,7410
21,42093.75,0.1234375,87.96875,53026.0655,7200,4595
22,61593.75,0.1984375,80.46875,90537.497,8800,6150
23,51843.75,0.2359375,91.71875,102354.126,8700,5901
24,71343.75,0.1609375,84.21875,97801.5743,10700,7456
25,39656.25,0.1703125,92.65625,60869.6805,6400,4560
26,59156.25,0.2453125,85.15625,111874.223,9200,6251
27,49406.25,0.2078125,88.90625,83325.81,7800,5451
28,68906.25,0.1328125,81.40625,83493.2318,10600,6961
29,44531.25,0.2265625,83.28125,74673.2008,6600,4602
30,64031.25,0.1515625,90.78125,92150.0463,10500,7213
31,54281.25,0.1140625,87.03125,66377.5114,10000,5862
33,36609.375,0.21953125,94.296875,68548.9395,6100,4284
34,56109.375,0.14453125,86.796875,74786.8062,8800,6043
35,46359.375,0.10703125,90.546875,57725.4293,9300,5209
36,65859.375,0.18203125,83.046875,94943.4635,9700,6787
37,41484.375,0.16328125,81.171875,53949.499,5800,4179
38,60984.375,0.23828125,88.671875,117688.452,10000,6710
39,51234.375,0.20078125,84.921875,80008.8937,7700,5399
41,39046.875,0.13515625,83.984375,48318.0011,6000,4069
42,58546.875,0.21015625,91.484375,104003.434,9700,6646
43,48796.875,0.24765625,80.234375,86041.0649,7000,4858
44,68296.875,0.17265625,87.734375,101585.517,10700,7436
45,43921.875,0.19140625,89.609375,70053,6900,4884
46,63421.875,0.11640625,82.109375,73797.8247,10800,6462
47,53671.875,0.15390625,93.359375,79708.0232,8900,6218
48,73171.875,0.22890625,85.859375,131752.234,11600,7796
49,37828.125,0.13984375,89.140625,50523.6554,6000,4184
50,57328.125,0.21484375,81.640625,90710.3927,8400,5808
51,47578.125,0.17734375,92.890625,75490,7800,5484
52,67078.125,0.10234375,85.390625,78461.5701,13400,7108
53,42703.125,0.23359375,87.265625,77696.6004,6700,4624
54,62203.125,0.15859375,94.765625,96161.1488,10600,7315
55,52453.125,0.12109375,83.515625,62541.5617,8700,5436
57,40265.625,0.20546875,82.578125,61460.6299,5800,4126
58,59765.625,0.13046875,90.078125,79759.6967,10300,6681
59,50015.625,0.16796875,86.328125,70998.7726,7600,5358
61,45140.625,0.11171875,91.953125,57839.7286,8900,5151
62,64640.625,0.18671875,84.453125,96386.415,9700,6774
63,54890.625,0.22421875,88.203125,98393.109,8800,6008
64,74390.625,0.14921875,80.703125,94063.3064,10800,7450
65,36304.6875,0.199609375,87.8515625,57925.7553,5500,3958
66,55804.6875,0.124609375,80.3515625,64650.7367,8800,5564
67,46054.6875,0.162109375,91.6015625,68296.898,7400,5235
68,65554.6875,0.237109375,84.1015625,118430.922,10100,6841
69,41179.6875,0.105859375,85.9765625,48223.204,7800,4393
70,60679.6875,0.180859375,93.4765625,99376.9692,10200,7039
71,50929.6875,0.218359375,82.2265625,81929.7372,7400,5197
72,70429.6875,0.143359375,89.7265625,97963.2736,11600,7842
73,38742.1875,0.152734375,83.1640625,49956.7792,5600,3998
74,58242.1875,0.227734375,90.6640625,110005.97,9700,6553
75,48492.1875,0.190234375,86.9140625,74671.3954,7400,5230
76,67992.1875,0.115234375,94.4140625,92065.8407,13800,7966
77,43617.1875,0.246484375,92.5390625,90631.929,7400,5009
78,63117.1875,0.171484375,85.0390625,89984.573,9500,6660
79,53367.1875,0.133984375,88.7890625,70516.7585,8900,5880
80,72867.1875,0.208984375,81.2890625,113548.542,10700,7350
81,37523.4375,0.119921875,93.9453125,50086.574,7000,4374
82,57023.4375,0.194921875,86.4453125,89350.7329,8800,6117
83,47273.4375,0.232421875,90.1953125,89482.0185,7700,5291
84,66773.4375,0.157421875,82.6953125,88484.2358,9800,6852
85,42398.4375,0.176171875,80.8203125,57235.6032,5900,4252
86,61898.4375,0.101171875,88.3203125,74587.423,12900,6784
87,52148.4375,0.138671875,84.5703125,66248.8299,8000,5473
89,39960.9375,0.223046875,85.5078125,67824.3727,6000,4240
90,59460.9375,0.148046875,93.0078125,86704.7209,10000,6863
91,49710.9375,0.110546875,81.7578125,56217.1247,8700,5043
92,69210.9375,0.185546875,89.2578125,109860.293,11100,7666
93,44835.9375,0.166796875,91.1328125,67056.6663,7100,5070
94,64335.9375,0.241796875,83.6328125,117742.45,9900,6677
95,54585.9375,0.204296875,94.8828125,98914.4873,9400,6427
97,36914.0625,0.159765625,86.6796875,50784.9213,5500,3971
98,56414.0625,0.234765625,94.1796875,115856.134,9900,6593
99,46664.0625,0.197265625,82.9296875,69825.5025,6800,4802
100,66164.0625,0.122265625,90.4296875,86966.5954,12100,7425